model,scenario_id,category,ground_truth_class,baseline_output_category,baseline_predicted_class,rag_output_category,rag_predicted_class,change,rag_retrieved_doc_ids
llama3,AUTH_001,AUTH,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
deepseek-r1_8b,SEC_008,SEC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; AUTH_005; NORMAL_003
deepseek-r1_8b,SEC_009,SEC,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; AUTH_005; NORMAL_003
deepseek-r1_8b,SEC_010,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; USB_005
deepseek-r1_8b,SEC_011,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
deepseek-r1_8b,SEC_012,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
deepseek-r1_8b,SEC_013,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; NORMAL_001
deepseek-r1_8b,SEC_014,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
deepseek-r1_8b,SEC_015,SEC,normal,valid_correct,normal,invalid,(none),RAG broke,NET_001; NORMAL_003; SEC_001
deepseek-r1_8b,SEC_016,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,SEC_017,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
deepseek-r1_8b,USB_001,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
deepseek-r1_8b,USB_002,USB,normal,valid_correct,normal,invalid,(none),RAG broke,NET_001; NORMAL_003; USB_002
deepseek-r1_8b,USB_003,USB,normal,valid_correct,normal,invalid,(none),RAG broke,NET_001; NORMAL_003; USB_002
deepseek-r1_8b,USB_004,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,USB_005,USB,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; USB_005; SEC_004
deepseek-r1_8b,USB_006,USB,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; USB_002; SEC_004
deepseek-r1_8b,USB_007,USB,abnormal,valid_incorrect,normal,invalid,(none),same,NET_001; NORMAL_003; USB_004
deepseek-r1_8b,USB_008,USB,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,NET_001; NORMAL_003; PROC_001
deepseek-r1_8b,USB_009,USB,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,NET_001; NORMAL_003; USB_001
deepseek-r1_8b,USB_010,USB,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,AUTH_002; NORMAL_003; AUTH_004
deepseek-r1_8b,USB_011,USB,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; USB_005; NORMAL_001
deepseek-r1_8b,USB_012,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
deepseek-r1_8b,USB_013,USB,abnormal,valid_correct,abnormal,invalid,(none),RAG broke,SEC_003; USB_002; USB_003
deepseek-r1_8b,USB_014,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; USB_005
deepseek-r1_8b,USB_015,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
deepseek-r1_8b,USB_016,USB,normal,valid_correct,normal,invalid,(none),RAG broke,NET_001; NORMAL_003; USB_002
deepseek-r1_8b,USB_017,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,AUTH_001,AUTH,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,AUTH_002; NORMAL_003; AUTH_004
gemma3_12b,AUTH_002,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
gemma3_12b,AUTH_003,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
gemma3_12b,AUTH_004,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,SEC_003; AUTH_005; AUTH_002
gemma3_12b,AUTH_005,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
gemma3_12b,AUTH_006,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
gemma3_12b,AUTH_007,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
gemma3_12b,AUTH_008,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
gemma3_12b,AUTH_009,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NORMAL_001
gemma3_12b,AUTH_010,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NET_001
gemma3_12b,AUTH_011,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
gemma3_12b,AUTH_012,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; NET_001; AUTH_004
gemma3_12b,AUTH_013,AUTH,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
gemma3_12b,AUTH_014,AUTH,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,SEC_003; AUTH_005; AUTH_002
gemma3_12b,AUTH_015,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,AUTH_016,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,AUTH_017,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,NET_001,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NET_002,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NET_003,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NET_004,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NET_005,NET,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_005; NET_002; SEC_003
gemma3_12b,NET_006,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NET_002
gemma3_12b,NET_007,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_002; AUTH_005; NET_002
gemma3_12b,NET_008,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
gemma3_12b,NET_009,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_004; NET_001
gemma3_12b,NET_010,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_004; PROC_001; NET_001
gemma3_12b,NET_011,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
gemma3_12b,NET_012,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; SEC_003
gemma3_12b,NET_013,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; SEC_003; NET_002
gemma3_12b,NET_014,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; AUTH_002; NET_002
gemma3_12b,NET_015,NET,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; NORMAL_001
gemma3_12b,NET_016,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_003; NET_001; NORMAL_003
gemma3_12b,NET_017,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_001,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
gemma3_12b,NORMAL_002,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,NORMAL_003,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_004,NORMAL,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,SEC_003; SEC_004; PROC_005
gemma3_12b,NORMAL_005,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_006,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_007,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_008,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_009,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_010,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_011,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_012,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_013,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,NORMAL_014,NORMAL,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,SEC_003; SEC_004; AUTH_005
gemma3_12b,NORMAL_015,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
gemma3_12b,NORMAL_016,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,NORMAL_017,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,NORMAL_018,NORMAL,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,PERSIST_001,PERSIST,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PERSIST_001
gemma3_12b,PERSIST_002,PERSIST,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PERSIST_001
gemma3_12b,PERSIST_003,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,PERSIST_004,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,PERSIST_004; NET_001; NORMAL_004
gemma3_12b,PERSIST_005,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; PERSIST_003
gemma3_12b,PERSIST_006,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; PERSIST_003
gemma3_12b,PERSIST_007,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_003; NET_001; NORMAL_003
gemma3_12b,PERSIST_008,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_004; NET_001; NORMAL_003
gemma3_12b,PERSIST_009,PERSIST,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,PERSIST_004; NORMAL_004; NET_001
gemma3_12b,PERSIST_010,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
gemma3_12b,PERSIST_011,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; SEC_004
gemma3_12b,PERSIST_012,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; SEC_004
gemma3_12b,PERSIST_013,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_004; SEC_003; PERSIST_005
gemma3_12b,PERSIST_014,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_005; NORMAL_003; SEC_003
gemma3_12b,PERSIST_015,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,PERSIST_016,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,PERSIST_017,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,PROC_001,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_002,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_003,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_004,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_005,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; PROC_005
gemma3_12b,PROC_006,PROC,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,SEC_003; PROC_001; PROC_005
gemma3_12b,PROC_007,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_003; PROC_001; NET_001
gemma3_12b,PROC_008,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
gemma3_12b,PROC_009,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_004; NET_001
gemma3_12b,PROC_010,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; NET_001; NORMAL_003
gemma3_12b,PROC_011,PROC,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,NORMAL_003; SEC_003; NET_001
gemma3_12b,PROC_012,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
gemma3_12b,PROC_013,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; PROC_005
gemma3_12b,PROC_014,PROC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; AUTH_002; SEC_003
gemma3_12b,PROC_015,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_016,PROC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,PROC_017,PROC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,SEC_001,SEC,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,SEC_003; SEC_004; PROC_005
gemma3_12b,SEC_002,SEC,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; PROC_001
gemma3_12b,SEC_003,SEC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; PROC_001
gemma3_12b,SEC_004,SEC,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
gemma3_12b,SEC_005,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; AUTH_005
gemma3_12b,SEC_006,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; SEC_002; SEC_004
gemma3_12b,SEC_007,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
gemma3_12b,SEC_008,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
gemma3_12b,SEC_009,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; NORMAL_003
gemma3_12b,SEC_010,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; USB_005
gemma3_12b,SEC_011,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
gemma3_12b,SEC_012,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
gemma3_12b,SEC_013,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PROC_005; NORMAL_001
gemma3_12b,SEC_014,SEC,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
gemma3_12b,SEC_015,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; SEC_001
gemma3_12b,SEC_016,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,SEC_017,SEC,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
gemma3_12b,USB_001,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
gemma3_12b,USB_002,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_002
gemma3_12b,USB_003,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_002
gemma3_12b,USB_004,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,USB_005,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; SEC_004
gemma3_12b,USB_006,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_002; SEC_004
gemma3_12b,USB_007,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_001; NORMAL_003; USB_004
gemma3_12b,USB_008,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_001; NORMAL_003; PROC_001
gemma3_12b,USB_009,USB,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,NET_001; NORMAL_003; USB_001
gemma3_12b,USB_010,USB,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
gemma3_12b,USB_011,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; NORMAL_001
gemma3_12b,USB_012,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_005; AUTH_005
gemma3_12b,USB_013,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; USB_002; USB_003
gemma3_12b,USB_014,USB,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PROC_001; SEC_003; USB_005
gemma3_12b,USB_015,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_001
gemma3_12b,USB_016,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; USB_002
gemma3_12b,USB_017,USB,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,AUTH_001,AUTH,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,AUTH_002; NORMAL_003; AUTH_004
qwen3_8b,AUTH_002,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
qwen3_8b,AUTH_003,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
qwen3_8b,AUTH_004,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,SEC_003; AUTH_005; AUTH_002
qwen3_8b,AUTH_005,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
qwen3_8b,AUTH_006,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
qwen3_8b,AUTH_007,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
qwen3_8b,AUTH_008,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
qwen3_8b,AUTH_009,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NORMAL_001
qwen3_8b,AUTH_010,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NET_001
qwen3_8b,AUTH_011,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
qwen3_8b,AUTH_012,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; NET_001; AUTH_004
qwen3_8b,AUTH_013,AUTH,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
qwen3_8b,AUTH_014,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; AUTH_002
qwen3_8b,AUTH_015,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,AUTH_016,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,AUTH_017,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,NET_001,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NET_002,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NET_003,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NET_004,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NET_005,NET,normal,valid_correct,normal,valid_correct,normal,same,AUTH_005; NET_002; SEC_003
qwen3_8b,NET_006,NET,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,SEC_003; AUTH_005; NET_002
qwen3_8b,NET_007,NET,abnormal,valid_correct,abnormal,valid_incorrect,normal,RAG broke,AUTH_002; AUTH_005; NET_002
qwen3_8b,NET_008,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
qwen3_8b,NET_009,NET,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,PROC_001; NET_004; NET_001
qwen3_8b,NET_010,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NET_004; PROC_001; NET_001
qwen3_8b,NET_011,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; SEC_003; NET_001
qwen3_8b,NET_012,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; SEC_003
qwen3_8b,NET_013,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; SEC_003; NET_002
qwen3_8b,NET_014,NET,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; AUTH_002; NET_002
qwen3_8b,NET_015,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NORMAL_001
qwen3_8b,NET_016,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_003; NET_001; NORMAL_003
qwen3_8b,NET_017,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_001,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
qwen3_8b,NORMAL_002,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,NORMAL_003,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_004,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,SEC_003; SEC_004; PROC_005
qwen3_8b,NORMAL_005,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_006,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_007,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_008,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_009,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_010,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_011,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_012,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_013,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,NORMAL_014,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,SEC_003; SEC_004; AUTH_005
qwen3_8b,NORMAL_015,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NORMAL_003; NET_001; NET_002
qwen3_8b,NORMAL_016,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,NORMAL_017,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,NORMAL_018,NORMAL,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
qwen3_8b,PERSIST_001,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
qwen3_8b,PERSIST_002,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PERSIST_001
qwen3_8b,PERSIST_003,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
qwen3_8b,PERSIST_004,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,PERSIST_004; NET_001; NORMAL_004
qwen3_8b,PERSIST_005,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; PERSIST_003
qwen3_8b,PERSIST_006,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; PERSIST_003
qwen3_8b,PERSIST_007,PERSIST,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,PERSIST_003; NET_001; NORMAL_003
qwen3_8b,PERSIST_008,PERSIST,abnormal,valid_incorrect,normal,valid_incorrect,normal,same,PERSIST_004; NET_001; NORMAL_003
qwen3_8b,PERSIST_009,PERSIST,normal,valid_correct,normal,valid_correct,normal,same,PERSIST_004; NORMAL_004; NET_001
qwen3_8b,PERSIST_010,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_005; SEC_004
qwen3_8b,PERSIST_011,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,PERSIST_002; SEC_003; SEC_004
qwen3_8b,PERSIST_012,PERSIST,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; PERSIST_002; SEC_004
